2022-06-28 08:50:43,228 | CrawlData | [INFO] | Create Crawl data object
2022-06-28 08:50:43,228 | CrawlData | [INFO] | Start crawl data Shopee
2022-06-28 08:50:43,386 | uvicorn.error | [INFO] | Started server process [12828]
2022-06-28 08:50:43,387 | uvicorn.error | [INFO] | Waiting for application startup.
2022-06-28 08:50:43,387 | uvicorn.error | [INFO] | Application startup complete.
2022-06-28 08:50:43,387 | uvicorn.error | [INFO] | Uvicorn running on http://0.0.0.0:8002 (Press CTRL+C to quit)
2022-06-28 08:50:55,498 | CrawlShopeeService | [INFO] | START CRAWL SHOPEE SERVICE
2022-06-28 08:50:55,499 | CrawlShopeeService | [INFO] | CRAWL ITEM OF KEYWORDS: []
2022-06-28 08:51:00,524 | Keyword | [INFO] | LOAD LINK Áo FROM FOLDER
2022-06-28 08:51:00,661 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 913
2022-06-28 08:51:00,707 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 1742
2022-06-28 08:51:00,804 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 913
2022-06-28 08:51:00,876 | Keyword | [INFO] | LOAD LINK Quần FROM FOLDER
2022-06-28 08:51:01,012 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Quần. NUMBER OF LINK HAVE BEEN CRAWLED: 861
2022-06-28 08:51:01,055 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 1832
2022-06-28 08:51:01,152 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Quần. NUMBER OF LINK HAVE BEEN CRAWLED: 861
2022-06-28 08:53:55,501 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:10
2022-06-28 08:53:55,501 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 08:58:55,507 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:28
2022-06-28 08:58:55,507 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 09:03:55,512 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:50
2022-06-28 09:03:55,512 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 09:08:55,519 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:67
2022-06-28 09:08:55,519 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 09:13:55,517 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:83
2022-06-28 09:13:55,517 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 09:18:55,521 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:103
2022-06-28 09:18:55,521 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 09:23:55,532 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:123
2022-06-28 09:23:55,533 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 09:28:55,532 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:142
2022-06-28 09:28:55,532 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 09:33:55,538 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:155
2022-06-28 09:33:55,538 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 09:38:55,545 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:176
2022-06-28 10:37:23,306 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 10:42:23,309 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:461
2022-06-28 10:42:23,311 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 10:47:23,323 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:486
2022-06-28 10:47:23,324 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 10:52:23,333 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:510
2022-06-28 10:52:23,333 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 10:57:23,338 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:535
2022-06-28 10:59:53,990 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 11:04:53,985 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:567
2022-06-28 11:04:53,985 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 11:09:53,989 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:589
2022-06-28 11:09:53,989 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần']
2022-06-28 11:12:44,419 | CrawlShopeeService | [INFO] | ITEM OF Áo IS REMOVED
